GPE,Count,Latitude,Longitude,GPE_new
Region  SOUTH-WEST,1,-34.0556829,116.0413889,Western Australia
Portland,3,45.515232,-122.6783853,Portland
Warrnambool,13,-38.3720954,142.4777782,Warrnambool
Peterborough,6,52.57031689999999,-0.2407996999999999,Peterborough
Princetown,1,50.5440793,-3.9904538,West Devon
Kangaroobie,2,-38.6994667,143.178421,Victoria
Venice,1,45.4408474,12.3155151,Mestre
ITALY,1,41.87194,12.56738,Rome
Athens,1,37.9838096,23.7275388,Athens
Rome,1,41.9027835,12.4963655,Rome
fll,1,26.1224386,-80.13731740000001,Fort Lauderdale
Barcelona,1,41.3873974,2.168568,Barcelona
Istanbul,1,41.0082376,28.9783589,Istanbul
Campcrdown,1,-33.88622429999999,151.1791091,Sydney
Tallangatta,1,-36.2150455,147.1770439,Tallangatta
New South Wales,1,-31.2532183,146.921099,New South Wales
Australasia,1,-29.5328037,145.491477,New South Wales
Warmambool,1,-38.3720954,142.4777782,Warrnambool
Tokyo,2,35.6761919,139.6503106,Suginami
Hiroshima,1,34.3852894,132.4553055,Hiroshima
