GPE,Latitude,Longitude,group_ID,sum,distance
Central Warrnambool,-38.3720954,142.4777782,8,1,0.0
South Warrnambool,-38.3720954,142.4777782,8,1,0.0
Hotel Warrnambool,-38.3720954,142.4777782,8,1,0.0
East Warrnambool,-38.3720954,142.4777782,8,1,0.0
South West Healthcare,-38.3801373,142.473434,7,1,0.6027547767121487
Lava Street,-38.3817814,142.4849584,6,1,0.773516382843325
Koroit,-38.2921758,142.3673185,10,1,8.148669991307628
Terang Mortlake 9,-38.2404416,142.9108851,11,1,25.229612493501502
Kolora,-38.1380254,142.9259307,15,1,29.23555063287629
Corangamite Shire,-38.1491105,143.1319209,14,1,38.756334199426334
Glenthompson,-37.6367776,142.5477626,25,1,50.85852197598789
Pigeon Ponds,-37.2979115,141.6709392,28,1,86.23250712962556
Lake Wendouree,-37.5528276,143.8332407,27,1,93.1155284690758
Ballarat,-37.5621587,143.8502556,26,1,93.46588002148393
Geelong,-38.1492994,144.3598426,13,1,103.49713863771936
Kyneton,-37.2490932,144.4532075,29,1,132.9675354310869
South Melbourne,-37.8343443,144.9559035,21,1,140.05269229809508
Parkville,-37.7787036,144.9426083,24,1,140.47266107014528
Beach Oval,-37.9455911,145.0007827,20,1,140.50808576675814
Bendigo,-36.7596196,144.2785764,31,1,148.78572636494147
Scott Creek,-35.0565609,138.7080325,39,1,309.8837684299555
Adelaide Hills,-34.9062557,138.8397403,41,1,312.9627030861466
Port Adelaide,-34.8442994,138.505369,42,1,328.4698268196001
Kangaroo Island,-35.7752426,137.2142417,36,1,341.4619603058236
Clare Valley,-33.8335699,138.61,48,1,380.3739357095
Broken Hill,-31.9595859,141.4608138,54,1,445.7849856405516
Berry,-34.7757734,150.6988896,43,1,519.8474787921481
New South Wales,-31.2532183,146.921099,57,1,551.7403066083069
Manly Beach,-33.7931501,151.2876488,50,1,585.043679233572
Terrey Hills,-33.6832036,151.2254937,51,1,586.5384914247824
